"Trade in goods by exporter characteristics, by industry of establishment"
"Frequency: Annual"
"Table: 12-10-0098-01 (formerly CANSIM 228-0077)"
"Release date: 2025-05-16"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

,,"Estimates","Value of exports 1 2  (x 1,000)","Number of exporting establishments"
"Geography","North American Industry Classification System (NAICS)","Reference period"
,,,"Dollars","Number"
,,"2018","235","3"
,,"2019","169","3"
,,"2020","578","5"
,,"2021","114","F"
,,"2022","2,206","F"
,,"2023","5,999","7"
,,"2024","18,844","6"
,"Textile mills  [313]","2007","777","F"
,,"2008","639","F"
,,"2009","15,443","3"
,,"2010","8,483","F"
,,"2011","10,387","3"
,,"2012","7,814","4"
,,"2013","9,909","3"
,,"2014","4,735","3"
,,"2015","6,496","4"
,,"2016","7,742","3"
,,"2017","7,285","3"
,,"2018","6,972","4"
,,"2019","6,421","3"
,,"2020","6,856","3"
,,"2021","5,645","3"
,,"2022","5,349","F"
,,"2023","6,444","F"
,,"2024","5,615","F"
,"Textile product mills  [314]","2007","9,793","9"
,,"2008","7,987","12"
,,"2009","5,882","8"
,,"2010","8,567","7"
,,"2011","9,263","7"
,,"2012","10,692","7"
,,"2013","6,874","7"
,,"2014","8,121","8"
,,"2015","7,904","8"
,,"2016","5,084","6"
,,"2017","6,621","7"
,,"2018","7,336","6"
,,"2019","11,000","5"
,,"2020","9,928","6"
,,"2021","14,548","9"
,,"2022","26,774","8"
,,"2023","29,124","7"
,,"2024","40,726","6"
,"Apparel manufacturing  [315]","2007","11,329","20"
,,"2008","8,245","22"
,,"2009","5,930","16"
,,"2010","6,793","14"
,,"2011","6,620","15"
,,"2012","7,583","16"
,,"2013","9,728","16"
,,"2014","8,365","14"
,,"2015","26,792","14"
,,"2016","25,843","12"
,,"2017","38,120","14"
,,"2018","99,433","15"
,,"2019","52,572","16"
,,"2020","29,191","17"
,,"2021","34,838","14"
,,"2022","48,178","12"
,,"2023","41,867","11"
,,"2024","48,512","10"
,"Leather and allied product manufacturing  [316]","2007","8,202","7"
,,"2008","9,824","6"
,,"2009","4,853","4"
,,"2010","8,247","5"
,,"2011","10,468","6"
,,"2012","7,748","7"
,,"2013","8,670","6"
,,"2014","8,885","5"
,,"2015","9,649","7"
,,"2016","2,703","6"
,,"2017","3,088","3"
,,"2018","2,331","3"
,,"2019","3,238","3"
,,"2020","2,205","3"
,,"2021","953","3"
,,"2022","1,191","F"
,,"2023","789","F"
,,"2024","952","F"
,"Wood product manufacturing  [321]","2007","297,867","26"
,,"2008","163,882","22"
,,"2009","111,299","17"
,,"2010","89,184","13"
,,"2011","75,777","16"
,,"2012","101,736","16"
,,"2013","126,880","15"
,,"2014","123,169","17"
,,"2015","124,734","19"
,,"2016","266,240","19"
,,"2017","203,682","14"
,,"2018","214,337","12"
,,"2019","188,370","11"
,,"2020","261,370","15"
,,"2021","268,959","18"
,,"2022","343,254","13"
,,"2023","365,050","17"
,,"2024","346,329","16"
,"Paper manufacturing  [322]","2007","140,726","17"
,,"2008","157,603","15"
,,"2009","99,744","13"
,,"2010","103,253","16"
,,"2011","34,577","13"
,,"2012","35,972","15"
,,"2013","139,715","14"
,,"2014","148,756","12"
,,"2015","158,411","14"
,,"2016","79,406","12"
,,"2017","217,075","14"
,,"2018","265,672","13"
,,"2019","259,449","13"
,,"2020","240,753","13"
,,"2021","231,725","13"
,,"2022","310,209","15"
,,"2023","277,859","15"
,,"2024","284,347","15"
,"Printing and related support activities  [323]","2007","76,871","47"
,,"2008","66,808","43"
,,"2009","66,193","35"
,,"2010","79,476","34"
,,"2011","97,838","34"
,,"2012","115,536","33"
,,"2013","100,208","35"
,,"2014","121,430","28"
,,"2015","155,756","27"
,,"2016","163,252","27"
,,"2017","160,050","25"
,,"2018","173,461","28"
,,"2019","196,542","23"
,,"2020","188,066","26"
,,"2021","202,806","22"
,,"2022","267,465","24"
,,"2023","250,718","25"
,,"2024","260,977","21"
,"Petroleum and coal product manufacturing  [324]","2007","12,164","F"
,,"2008","13,027","F"
,,"2009","1","F"
,,"2010","..",".."
,,"2011","..",".."
,,"2012","..",".."
,,"2013","1,636","F"
,,"2014","..",".."
,,"2015","58","F"
,,"2016","..",".."
,,"2017","..",".."
,,"2018","4,002","F"
,,"2019","3,782","F"
,,"2020","1,253","F"
,,"2021","1,012","F"
,,"2022","6,476","F"
,,"2023","36,841","F"
,,"2024","42,228","F"
,"Chemical manufacturing  [325]","2007","502,943","30"
,,"2008","364,806","27"
,,"2009","530,319","24"
,,"2010","453,006","25"
,,"2011","667,474","28"
,,"2012","545,026","27"
,,"2013","579,214","27"
,,"2014","454,051","29"
,,"2015","474,559","26"
,,"2016","1,188,682","28"
,,"2017","880,560","30"
,,"2018","1,780,861","30"
,,"2019","2,834,516","28"
,,"2020","2,444,666","25"
,,"2021","2,688,449","25"
,,"2022","3,103,353","26"
,,"2023","3,019,513","26"
,,"2024","1,919,450","29"
,"Plastics and rubber products manufacturing  [326]","2007","268,005","55"
,,"2008","254,386","54"
,,"2009","258,449","53"
,,"2010","253,443","55"
,,"2011","246,726","57"
,,"2012","230,917","52"
,,"2013","227,753","44"
,,"2014","240,260","52"
,,"2015","355,668","51"
,,"2016","379,196","45"
,,"2017","401,292","40"
,,"2018","439,079","46"
,,"2019","424,386","44"
,,"2020","442,943","45"
,,"2021","462,899","47"
,,"2022","612,640","43"
,,"2023","621,892","46"
,,"2024","644,901","44"
,"Non-metallic mineral product manufacturing  [327]","2007","11,234","10"
,,"2008","8,675","11"
,,"2009","8,145","8"
,,"2010","4,998","10"
,,"2011","6,800","11"
,,"2012","7,024","10"
,,"2013","6,221","12"
,,"2014","6,801","7"
,,"2015","7,997","9"
,,"2016","16,152","10"
,,"2017","11,059","10"
,,"2018","8,162","9"
,,"2019","8,634","11"
,,"2020","14,424","7"
,,"2021","8,574","11"
,,"2022","11,150","10"
,,"2023","9,330","10"
,,"2024","9,320","9"
,"Primary metal manufacturing  [331]","2007","540,178","14"
,,"2008","1,024,095","14"
,,"2009","699,954","16"
,,"2010","1,324,173","16"
,,"2011","1,243,547","15"
,,"2012","1,617,466","16"
,,"2013","256,066","14"
,,"2014","473,629","15"
,,"2015","450,591","15"
,,"2016","294,456","12"
,,"2017","466,658","12"
,,"2018","540,754","13"
,,"2019","515,165","13"
,,"2020","484,927","15"
,,"2021","527,235","15"
,,"2022","395,551","12"
,,"2023","454,999","13"
,,"2024","373,706","13"
,"Fabricated metal product manufacturing  [332]","2007","120,777","79"
,,"2008","166,771","79"
,,"2009","165,753","66"
,,"2010","165,065","66"
,,"2011","155,495","76"
,,"2012","163,995","71"
,,"2013","141,059","68"
,,"2014","154,881","71"
,,"2015","167,645","74"
,,"2016","170,789","75"
,,"2017","205,325","73"
,,"2018","222,798","76"
,,"2019","218,711","81"
,,"2020","190,487","86"
,,"2021","244,298","93"
,,"2022","298,517","99"
,,"2023","360,953","96"
,,"2024","332,159","102"
,"Machinery manufacturing  [333]","2007","540,224","93"
,,"2008","780,897","96"
,,"2009","769,489","97"
,,"2010","694,538","88"
,,"2011","968,802","93"
,,"2012","950,896","94"
,,"2013","969,439","96"
,,"2014","1,012,111","96"
,,"2015","860,218","96"
,,"2016","788,568","97"
,,"2017","925,525","87"
,,"2018","1,052,672","92"
,,"2019","1,030,400","100"
,,"2020","1,053,298","103"
,,"2021","1,237,466","99"
,,"2022","1,685,574","107"
,,"2023","1,925,770","103"
,,"2024","1,983,186","111"
,"Computer and electronic product manufacturing  [334]","2007","103,652","19"
,,"2008","106,016","18"
,,"2009","70,188","19"
,,"2010","93,337","19"
,,"2011","109,150","18"
,,"2012","103,028","16"
,,"2013","81,945","16"
,,"2014","117,093","20"
,,"2015","116,515","19"
,,"2016","82,356","20"
,,"2017","65,053","18"
,,"2018","74,266","16"
,,"2019","75,765","17"
,,"2020","59,146","14"
,,"2021","58,672","14"
,,"2022","67,536","12"
,,"2023","114,690","12"
,,"2024","127,487","10"
,"Electrical equipment, appliance and component manufacturing  [335]","2007","94,124","12"
,,"2008","126,438","13"
,,"2009","92,504","12"
,,"2010","66,440","10"
,,"2011","55,027","9"
,,"2012","69,443","11"
,,"2013","62,928","10"
,,"2014","51,264","10"
,,"2015","86,064","8"
,,"2016","60,789","6"
,,"2017","63,098","4"
,,"2018","70,317","8"
,,"2019","84,448","6"
,,"2020","95,453","7"
,,"2021","101,734","6"
,,"2022","107,668","9"
,,"2023","176,761","9"
,,"2024","197,115","10"
,"Transportation equipment manufacturing  [336]","2007","1,356,006","42"
,,"2008","1,253,419","36"
,,"2009","1,421,139","34"
,,"2010","1,231,549","36"
,,"2011","1,197,499","38"
,,"2012","1,398,849","36"
,,"2013","1,387,545","32"
,,"2014","1,460,996","30"
,,"2015","1,870,738","37"
,,"2016","2,147,390","36"
,,"2017","2,054,476","37"
,,"2018","2,226,241","35"
,,"2019","2,466,931","40"
,,"2020","1,474,413","39"
,,"2021","1,233,050","44"
,,"2022","1,284,608","41"
,,"2023","1,757,551","42"
,,"2024","2,006,145","46"
,"Furniture and related product manufacturing  [337]","2007","171,116","30"
,,"2008","111,633","30"
,,"2009","84,339","26"
,,"2010","73,446","28"
,,"2011","78,009","30"
,,"2012","91,534","28"
,,"2013","116,376","22"
,,"2014","131,522","22"
,,"2015","175,738","21"
,,"2016","189,029","29"
,,"2017","195,939","23"
,,"2018","201,869","27"
,,"2019","236,034","28"
,,"2020","217,377","27"
,,"2021","257,552","26"
,,"2022","316,703","24"
,,"2023","306,169","22"
,,"2024","282,529","22"
,"Miscellaneous manufacturing  [339]","2007","105,948","42"
,,"2008","49,308","41"
,,"2009","52,075","40"
,,"2010","41,908","38"
,,"2011","37,051","39"
,,"2012","214,862","40"
,,"2013","275,862","40"
,,"2014","155,749","41"
,,"2015","304,673","37"
,,"2016","437,714","39"
,,"2017","453,625","37"
,,"2018","446,059","44"
,,"2019","1,900,342","46"
,,"2020","44,139","46"
,,"2021","58,927","36"
,,"2022","65,248","40"
,,"2023","74,417","39"
,,"2024","111,198","40"
,"Wholesale trade  [41]","2007","4,835,356","356"
,,"2008","6,800,096","336"
,,"2009","4,512,465","361"
,,"2010","5,341,918","341"
,,"2011","7,591,425","376"
,,"2012","7,648,868","356"
,,"2013","4,106,832","348"
,,"2014","7,610,733","330"
,,"2015","7,721,354","373"
,,"2016","5,793,908","353"
,,"2017","6,710,220","369"
,,"2018","7,998,655","356"
,,"2019","8,949,855","363"
,,"2020","13,518,369","325"
,,"2021","14,940,491","390"
,,"2022","16,796,921","409"
,,"2023","17,994,288","408"
,,"2024","16,257,543","398"
,"Retail trade  [44-45]","2007","12,259","66"
,,"2008","9,056","65"
,,"2009","11,401","73"
,,"2010","10,778","62"
,,"2011","18,742","86"
,,"2012","27,223","91"
,,"2013","24,710","82"
,,"2014","37,802","97"
,,"2015","48,387","106"
,,"2016","41,639","101"
,,"2017","33,507","101"
,,"2018","45,404","111"
,,"2019","56,224","99"
,,"2020","66,781","97"
,,"2021","71,032","114"
,,"2022","65,142","107"
,,"2023","85,056","105"
,,"2024","52,310","117"
,"Transportation and warehousing  [48-49]","2007","393,185","70"
,,"2008","1,045,609","66"
,,"2009","745,724","74"
,,"2010","1,017,017","67"
,,"2011","873,786","71"
,,"2012","1,052,609","62"
,,"2013","1,190,951","60"
,,"2014","1,938,070","73"
,,"2015","1,407,411","68"
,,"2016","1,964,464","56"
,,"2017","1,479,170","61"
,,"2018","216,128","54"
,,"2019","211,332","69"
,,"2020","172,534","65"
,,"2021","240,898","70"
,,"2022","440,551","75"
,,"2023","408,085","93"
,,"2024","450,157","78"
,"Information and cultural industries  [51]","2007","3,461","18"
,,"2008","3,793","15"
,,"2009","3,054","10"
,,"2010","3,161","12"
,,"2011","1,707","10"
,,"2012","95","4"
,,"2013","122","6"
,,"2014","161","8"
,,"2015","209","7"
,,"2016","113","11"
,,"2017","733","10"
,,"2018","184","6"
,,"2019","216","14"
,,"2020","113","10"
,,"2021","586","13"
,,"2022","604","13"
,,"2023","623","5"
,,"2024","1,053","9"
,"Finance and insurance  [52]","2007","76,991","13"
,,"2008","89,185","18"
,,"2009","60,767","14"
,,"2010","54,694","17"
,,"2011","61,842","15"
,,"2012","52,609","20"
,,"2013","17,147","14"
,,"2014","16,627","17"
,,"2015","2,614","15"
,,"2016","1,887","12"
,,"2017","3,702","12"
,,"2018","4,025","14"
,,"2019","6,426","15"
,,"2020","10,857","9"
,,"2021","12,339","14"
,,"2022","10,139","14"
,,"2023","6,492","13"
,,"2024","2,599","14"
,"Real estate and rental and leasing  [53]","2007","49,610","20"
,,"2008","141,574","20"
,,"2009","5,523","12"
,,"2010","7,512","11"
,,"2011","1,390","18"
,,"2012","3,618","18"
,,"2013","18,513","29"
,,"2014","12,838","42"
,,"2015","13,220","40"
,,"2016","5,480","31"
,,"2017","8,602","38"
,,"2018","9,251","37"
,,"2019","18,618","40"
,,"2020","14,318","38"
,,"2021","11,790","52"
,,"2022","12,723","42"
,,"2023","14,228","44"
,,"2024","7,236","39"
,"Professional, scientific and technical services  [54]","2007","31,761","58"
,,"2008","63,795","48"
,,"2009","58,240","42"
,,"2010","27,508","44"
,,"2011","29,002","46"
,,"2012","19,690","43"
,,"2013","38,615","46"
,,"2014","57,476","48"
,,"2015","39,780","52"
,,"2016","31,169","45"
,,"2017","37,061","50"
,,"2018","39,229","50"
,,"2019","55,891","53"
,,"2020","50,631","58"
,,"2021","58,763","53"
,,"2022","14,786","51"
,,"2023","34,587","52"
,,"2024","65,098","41"
,"Management of companies and enterprises  [55]","2007","63,269","19"
,,"2008","65,786","23"
,,"2009","104,693","26"
,,"2010","79,149","30"
,,"2011","63,256","27"
,,"2012","108,257","32"
,,"2013","88,463","26"
,,"2014","119,427","25"
,,"2015","463,219","21"
,,"2016","181,217","18"
,,"2017","173,597","22"
,,"2018","129,070","16"
,,"2019","90,529","15"
,,"2020","86,784","13"
,,"2021","73,722","11"
,,"2022","5,021","7"
,,"2023","68","F"
,,"2024","37","F"
,"Administrative and support, waste management and remediation services  [56]","2007","1,612","23"
,,"2008","750","19"
,,"2009","5,222","13"
,,"2010","7,320","20"
,,"2011","11,563","16"
,,"2012","9,415","15"
,,"2013","7,233","23"
,,"2014","45,733","26"
,,"2015","23,065","24"
,,"2016","31,966","22"
,,"2017","37,392","20"
,,"2018","51,076","23"
,,"2019","38,088","16"
,,"2020","35,435","21"
,,"2021","78,100","29"
,,"2022","48,309","29"
,,"2023","40,133","21"
,,"2024","52,625","28"
,"Educational services  [61]","2007","1,040","3"
,,"2008","113","4"
,,"2009","144","F"
,,"2010","153","3"
,,"2011","37","5"
,,"2012","65","6"
,,"2013","26","3"
,,"2014","199","F"
,,"2015","756","5"
,,"2016","255","4"
,,"2017","292","8"
,,"2018","110","F"
,,"2019","104","9"
,,"2020","884","7"
,,"2021","70","3"
,,"2022","218","5"
,,"2023","49","6"
,,"2024","197","F"
,"Health care and social assistance  [62]","2007","864","8"
,,"2008","4,677","10"
,,"2009","1,917","10"
,,"2010","9,911","12"
,,"2011","11,433","12"
,,"2012","711","15"
,,"2013","2,381","15"
,,"2014","1,186","10"
,,"2015","1,454","19"
,,"2016","1,178","15"
,,"2017","705","14"
,,"2018","440","21"
,,"2019","182","14"
,,"2020","603","17"
,,"2021","4,753","11"
,,"2022","7,224","12"
,,"2023","2,307","22"
,,"2024","4,399","20"
,"Arts, entertainment and recreation  [71]","2007","729","23"
,,"2008","2,500","23"
,,"2009","7,026","17"
,,"2010","496","16"
,,"2011","750","21"
,,"2012","492","21"
,,"2013","872","18"
,,"2014","804","18"
,,"2015","652","15"
,,"2016","698","14"
,,"2017","2,408","19"
,,"2018","23,757","13"
,,"2019","1,517","8"
,,"2020","466","9"
,,"2021","309","14"
,,"2022","1,685","17"
,,"2023","2,006","13"
,,"2024","1,202","20"
,"Accommodation and food services  [72]","2007","186","3"
,,"2008","75","3"
,,"2009","211","5"
,,"2010","4","F"
,,"2011","78","6"
,,"2012","3","F"
,,"2013","5","F"
,,"2014","39","5"
,,"2015","30","6"
,,"2016","15","4"
,,"2017","17","5"
,,"2018","21,555","F"
,,"2019","14,637","3"
,,"2020","21,407","F"
,,"2021","10,934","F"
,,"2022","31","F"
,,"2023","7","F"
,,"2024","6","F"
,"Other services (except public administration)  [81]","2007","58,777","32"
,,"2008","45,763","36"
,,"2009","37,182","32"
,,"2010","22,190","33"
,,"2011","3,233","40"
,,"2012","6,054","29"
,,"2013","11,670","38"
,,"2014","8,747","32"
,,"2015","6,527","38"
,,"2016","8,457","34"
,,"2017","4,669","28"
,,"2018","4,520","37"
,,"2019","6,074","30"
,,"2020","8,052","19"
,,"2021","11,958","36"
,,"2022","5,655","37"
,,"2023","8,354","34"
,,"2024","8,206","30"
,"Public administration  [91]","2007","39,783","6"
,,"2008","287","4"
,,"2009","341","5"
,,"2010","590","7"
,,"2011","235","5"
,,"2012","1,109","4"
,,"2013","100","F"
,,"2014","359","8"
,,"2015","373","5"
,,"2016","135","4"
,,"2017","41","3"
,,"2018","32","F"
,,"2019","330","4"
,,"2020","20","F"
,,"2021","188","5"
,,"2022","11","F"
,,"2023","456","F"
,,"2024","35","F"
"Saskatchewan","All industries","2007","7,974,636","1,156"
,,"2008","11,562,805","1,366"
,,"2009","9,331,132","1,154"
,,"2010","10,297,967","1,068"
,,"2011","13,901,558","1,176"
,,"2012","14,582,592","1,260"
,,"2013","16,820,437","1,250"
,,"2014","16,331,721","1,787"
,,"2015","19,482,214","1,523"
,,"2016","16,915,056","1,319"
,,"2017","17,073,845","1,434"
,,"2018","18,641,313","1,440"
,,"2019","17,429,042","1,346"
,,"2020","18,718,800","1,348"
,,"2021","24,387,811","1,560"
,,"2022","38,321,682","1,637"
,,"2023","34,669,740","1,593"
,,"2024","30,055,999","1,395"
,"Agriculture, forestry, fishing and hunting  [11]","2007","431,626","370"
,,"2008","448,237","513"
,,"2009","455,157","388"
,,"2010","324,792","310"
,,"2011","735,895","362"
,,"2012","598,952","424"
,,"2013","1,458,253","464"
,,"2014","733,996","931"
,,"2015","638,720","690"
,,"2016","814,136","547"
,,"2017","373,091","615"
,,"2018","271,179","597"
,,"2019","304,944","488"
,,"2020","405,065","487"
,,"2021","382,218","594"
,,"2022","387,160","635"
,,"2023","388,450","597"
,,"2024","330,656","465"
,"Mining, quarrying, and oil and gas extraction  [21]","2007","2,324,444","39"
,,"2008","2,758,210","40"
,,"2009","1,803,774","30"
,,"2010","2,327,069","30"
,,"2011","2,672,142","33"
,,"2012","2,411,950","37"
,,"2013","3,065,680","32"
,,"2014","2,503,844","32"
,,"2015","3,256,732","32"
,,"2016","2,557,232","31"
,,"2017","2,534,788","38"
,,"2018","2,464,061","29"
,,"2019","2,319,057","32"
,,"2020","2,770,418","27"
,,"2021","5,971,798","37"
,,"2022","11,112,440","38"
,,"2023","9,675,987","44"
,,"2024","9,960,540","38"
,"Oil and gas extraction  [211]","2007","962,489","7"
,,"2008","75,466","7"
,,"2009","51,780","4"
,,"2010","89,519","3"
,,"2011","116,402","3"
,,"2012","10,459","5"
,,"2013","476,108","3"
,,"2014","185,697","F"
,,"2015","122,053","4"
,,"2016","70,436","F"
,,"2017","69,488","3"
,,"2018","116,345","3"
,,"2019","31,618","3"
,,"2020","6,629","3"
,,"2021","2,811,167","5"
,,"2022","5,497,521","F"
,,"2023","4,395,487","F"
,,"2024","4,911,921","F"
,"Mining and quarrying (except oil and gas)  [212]","2007","1,351,189","20"
,,"2008","2,648,804","17"
,,"2009","1,747,501","16"
,,"2010","2,234,433","17"
,,"2011","2,548,704","17"
,,"2012","2,398,269","16"
,,"2013","2,410,326","16"
,,"2014","2,092,847","14"
,,"2015","2,712,760","15"
,,"2016","1,858,933","15"
,,"2017","1,751,645","15"
,,"2018","2,106,751","17"
,,"2019","2,280,145","18"
,,"2020","2,760,776","13"
,,"2021","3,140,422","16"
,,"2022","5,598,476","17"
,,"2023","5,276,258","18"
,,"2024","5,042,878","19"
,"Support activities for mining, and oil and gas extraction  [213]","2007","10,765","12"
,,"2008","33,941","16"
,,"2009","4,493","10"
,,"2010","3,117","10"
,,"2011","7,035","13"
,,"2012","3,223","16"
,,"2013","179,246","13"
,,"2014","225,300","16"
,,"2015","421,919","13"
,,"2016","627,862","14"
,,"2017","713,655","20"
,,"2018","240,964","9"
,,"2019","7,294","11"
,,"2020","3,013","11"
,,"2021","20,208","16"
,,"2022","16,443","18"
,,"2023","4,242","22"
,,"2024","5,741","15"
,"Utilities  [22]","2007","65,142","F"
,,"2008","9,427","5"
,,"2009","6,564","F"
,,"2010","24,056","4"
,,"2011","4,109","5"
,,"2012","1,507","5"
,,"2013","2,735","F"
,,"2014","4,304","3"
,,"2015","2,711","F"
,,"2016","6,319","3"
,,"2017","8,779","3"
,,"2018","3,894","F"
,,"2019","1,758","4"
,,"2020","2,343","F"
,,"2021","14,438","9"
,,"2022","16,640","F"
,,"2023","65,847","F"
,,"2024","18,495","F"
,"Construction  [23]","2007","3,061","22"
,,"2008","5,684","34"
,,"2009","4,569","24"
,,"2010","4,020","19"
,,"2011","9,514","20"
,,"2012","5,517","24"
,,"2013","7,444","21"
,,"2014","7,517","31"
,,"2015","7,878","25"
,,"2016","4,631","23"
,,"2017","14,754","27"
,,"2018","7,058","28"
,,"2019","8,583","37"
,,"2020","5,754","30"
,,"2021","10,839","42"
,,"2022","8,899","42"
,,"2023","12,915","42"
,,"2024","22,221","43"
